id,repair_order_id,issue_date,due_date,parts_cost,labor_cost,tax,total_amount,status
7d49eb4c-8ee7-4c76-867d-05bfac717ba6,81ccf3ed-453e-4eca-8a5c-bf06772e5895,2024-10-21,2024-11-20,539.94,470,80.8,1090.74,Paid
9f481158-d558-45e4-9f52-040e65fac6eb,39884597-9dfd-4838-94cf-026714b60c9f,2022-03-30,2022-04-29,579.96,390,77.6,1047.56,Unpaid
54603146-ace0-4e77-a009-250bfe76dba1,6bc51d72-32ad-43f9-b6d9-d2dccffb5233,2024-02-24,2024-03-25,629.94,220,68,917.94,Unpaid
758fbd10-599e-4e4a-8646-29580ceb07d9,abfc8c1e-4bec-48f5-8bb3-891e20917e8d,2022-05-02,2022-06-01,339.98,205,43.6,588.58,Unpaid
5e958854-c242-4ebe-a0b9-73891d1a500f,47231beb-95e0-4a37-bb66-16cb2e2eb2aa,2022-06-12,2022-07-12,649.95,180,66.4,896.35,Unpaid
f04bb4c8-2c35-4773-8680-4ac8eb6e895a,3bea5135-82a3-40a2-8e7b-0335cad2716d,2022-11-18,2022-12-18,339.91,820,92.79,1252.7,Unpaid
4d8b4bbf-596d-4ebf-baaa-712f9fd1622f,388f39e3-9fe2-4fe8-899f-f9be12af22aa,2023-02-22,2023-03-24,159.99,315,38,512.99,Unpaid
83420c1f-6b7f-4138-9b06-d1e9b990c169,dce198e4-21ac-4d68-8186-a9f09b149613,2024-08-27,2024-09-26,159.99,75,18.8,253.79,Paid
f977ea41-ddbf-4f62-8158-293bd5613bd6,1d08952f-cf54-41b3-ae58-8213a11ecea1,2025-02-04,2025-03-06,289.96,325,49.2,664.16,Unpaid
de8dceac-0f9e-47e0-a507-1b07adc34232,b9507a7e-7c93-4237-9720-772b336c41b7,2024-06-13,2024-07-13,999.94,440,115.2,1555.14,Paid
67e7ed1d-b0fa-4d9b-9730-6afc286ac6fc,4235316d-d273-48d2-9c37-3eed793b0d1e,2024-02-24,2024-03-25,25.98,160,14.88,200.86,Unpaid
ba23fbc1-fb15-4103-b79b-c00700b4ad51,d1de909c-aa89-4406-ad27-42c90b550eed,2023-09-10,2023-10-10,512.97,340,68.24,921.21,Paid
9b16e7b2-8e8c-434b-afb1-83c68d7d227d,47f27913-57f1-45ca-9249-4df1ec5b8f7b,2022-07-17,2022-08-16,442.94,535,78.24,1056.18,Unpaid
0d36f95c-60ea-4763-b841-9b5dd49a893e,050f5272-c963-4892-9104-f28bbd849e45,2022-05-04,2022-06-03,941.87,870,144.95,1956.82,Unpaid
cb7903b3-778a-46ab-92ba-43d6c4d13dba,3012fc9d-2d7d-4b8c-b6fc-dd0902fdab67,2024-11-22,2024-12-22,1019.88,845,149.19,2014.07,Unpaid
44dc3691-bfd2-4878-ae3f-03a1b8d8e031,79b91861-dabf-447d-89bc-e37117db5b24,2024-06-15,2024-07-15,479.97,450,74.4,1004.37,Unpaid
6757eaf3-a4d6-42d7-8e07-2d27e9fb47a9,0310cc2e-cd83-45f3-b75d-7df103dd8dab,2022-08-05,2022-09-04,269.97,170,35.2,475.17,Unpaid
db239711-bb93-4bec-a934-2b8e19a0ae76,403c8999-c64e-4fa1-b43c-3d3936b6a3e0,2022-12-21,2023-01-20,399.98,200,48,647.98,Unpaid
5832bfaf-5a33-4413-ae6c-e0649586fc9e,994cde60-2d80-4c4c-a980-f8dcca919283,2024-07-31,2024-08-30,19.99,180,16,215.99,Unpaid
71480c04-398a-416c-afd0-3469d9fb9c57,868db048-2f5e-46f3-ac4d-07336bbf819f,2024-03-18,2024-04-17,659.97,170,66.4,896.37,Unpaid
e71deac4-0152-4945-b051-649cabc20054,47ba1aa2-9cb1-4275-a700-2a805a66a64c,2022-07-30,2022-08-29,1449.9,810,180.79,2440.69,Unpaid
f3f6ec00-f19f-40a7-9738-9fddb0b5fc56,81d697da-18cf-4e03-aa34-fdf15e2ab5bc,2022-11-28,2022-12-28,0,90,7.2,97.2,Unpaid
f96729b6-b240-44de-9d42-44cb72b01347,34655780-b267-4900-b8f1-4520093852d2,2022-04-11,2022-05-11,599.97,340,75.2,1015.17,Paid
32248d7d-95f6-456e-b4df-c3d6ea615d84,7f65e58f-a900-4aec-9372-8e254c337f5d,2024-01-06,2024-02-05,149.97,150,24,323.97,Paid
e3f45e1d-9016-4b47-8f34-741d3c49e474,bec98b50-876b-4635-b20b-79f184e7c64b,2022-02-21,2022-03-23,89.99,350,35.2,475.19,Paid
7ad4bbb8-e047-427d-b793-6a70cfcc9097,a7efa855-d416-493b-abc6-2c11f052df1f,2025-03-27,2025-04-26,829.88,750,126.39,1706.27,Paid
5bfb0ebd-ccf6-4d83-8d1b-2736342f3c56,68ac59ea-20f1-4a06-be6f-b2ad2337d751,2022-02-09,2022-03-11,869.92,515,110.79,1495.71,Unpaid
899ee2c0-0ab5-4e48-9901-a23217c7ec81,618a760a-e66f-400f-80d1-55d84d2df443,2024-05-15,2024-06-14,299.98,140,35.2,475.18,Unpaid
aa7a9570-b535-4d30-b0ab-894128435e9c,318e76a9-3ae3-4c3e-a30a-d8b79ec9d039,2023-09-23,2023-10-23,659.96,395,84.4,1139.36,Unpaid
4cf5b4f3-3406-479e-aca1-e31324f2f07b,c111903d-951c-4567-912a-4c855d6b6b6c,2023-03-06,2023-04-05,719.92,180,71.99,971.91,Unpaid
8c566676-fb34-4d67-b8d1-5334e74412d5,41d5237f-78a9-424b-8518-eab17ba9223f,2023-01-03,2023-02-02,1039.92,810,147.99,1997.91,Unpaid
d0924754-ebeb-472f-bf74-fd6bfa2aadf7,13251080-caf6-4079-bae6-fdc100836b67,2024-09-26,2024-10-26,199.96,120,25.6,345.56,Paid
f1199a3b-19a4-4142-8436-18d26f2fe81e,718adbbe-ccf8-4ee5-ac76-33053672f021,2023-05-13,2023-06-12,1029.93,465,119.59,1614.52,Unpaid
1a2b3c4d-5678-90ab-cdef-1234567890ab,1a2b3c4d-5678-90ab-cdef-1234567890cd,2025-01-15,2025-01-30,150.0,200.0,35.0,385.0,Paid
2b3c4d5e-6789-01ab-cdef-2345678901bc,2b3c4d5e-6789-01ab-cdef-2345678901de,2025-02-10,2025-02-25,300.0,400.0,70.0,770.0,Unpaid
3c4d5e6f-7890-12ab-cdef-3456789012cd,3c4d5e6f-7890-12ab-cdef-3456789012ef,2025-03-05,2025-03-20,250.0,350.0,60.0,660.0,Paid
